method,t,median,q1,q3,coverage
lshade,88.29525741646478,14.435146443514643,5.218191284765483,25.60816660253944,1.0
lshade,105.1527870716838,14.295676429567642,5.032074846921881,25.266970347134816,1.0
lshade,125.2287943030676,14.086471408647142,4.935035525924916,24.594395280235986,1.0
lshade,149.137758107251,13.668061366806135,4.841168191757206,23.871546514137705,1.0
lshade,177.61147519657962,13.249651324965134,4.816887067450765,23.57285146413411,1.0
lshade,211.52145856195136,12.691771269177126,4.619688036401678,23.424122239010003,1.0
lshade,251.90561241978202,12.691771269177126,4.619688036401678,23.0428863172226,1.0
lshade,300.0000000000001,12.203626220362622,4.480631165607413,23.00034454798999,1.0
mde,0.01,43.850267379679146,33.12780269058296,59.13528591352859,0.9701492537313433
mde,0.01190922255039211,43.1578947368421,32.34304932735426,58.45388788426763,0.9701492537313433
mde,0.014182958175476787,42.474916387959865,30.913978494623656,55.56057866184448,0.9701492537313433
mde,0.016890800533465627,41.83912199445048,30.619469959978783,54.11021451816431,0.9850746268656716
mde,0.020115630260732383,40.41732440348822,29.969700265488697,53.835425383542535,0.9850746268656716
mde,0.0239561517516464,40.135547168416934,28.92439428418446,52.59659654074012,0.9850746268656716
mde,0.028529914266132276,39.5835557057805,28.383098520848673,52.6140302924835,0.9850746268656716
mde,0.03397690983389759,38.99090774013624,28.100389809142374,52.426617461242216,0.9850746268656716
mde,0.04046385807864926,38.85289512183971,27.11605230573589,52.074616457461644,0.9850746268656716
mde,0.04818930911061157,38.18913414499766,27.081018673448895,51.48186889818689,0.9850746268656716
mde,0.05738972067479109,37.77416734362308,26.65525476695588,50.73221757322175,1.0
mde,0.06834669556209264,37.54010695187166,26.189039494912283,48.912050873347944,1.0
mde,0.0813956008032858,37.05882352941177,25.79742928417403,48.912050873347944,1.0
mde,0.09693583245892048,36.02761982128351,25.325285752540417,47.845034108483006,1.0
mde,0.11544304018608072,35.37774167343623,25.229588600904826,47.12343096234309,1.0
mde,0.13748368574698944,34.893267651888344,24.556115305358247,46.31188981868898,1.0
