a,b,p_raw,rank_biserial,n_effective,median_difference,p_holm,significant
brkga,mde,4.4250152912985515e-05,0.6165984804208066,58,2.5607638888888893,0.0013539356377481166,True
brkga,csa,0.8495539963375276,0.02863822326125073,58,0.0,1.0,False
ga,de,9.633574874793673e-12,-0.9871031746031746,63,-5.88235294117647,1.0500596613525103e-09,True
ga,pso,9.214425527838948e-12,-0.9959037378392217,62,-7.071339173967459,1.0135868080622842e-09,True
ga,abc,5.690890720152127e-12,-0.998015873015873,63,-9.955752212389378,6.942886678585595e-10,True
ga,lshade,1.3749364261371703e-07,-0.7757800105764145,61,-2.965069049553211,6.3247075602309834e-06,True
ga,imode,1.3824858893704506e-10,-0.9450026441036489,61,-2.914798206278027,9.677401225593154e-09,True
ga,cmaes,0.11335078740677823,0.23904149620105203,58,0.08103727714748743,1.0,False
ga,gwo,4.8382142883032404e-11,-0.9682707562136436,61,-6.418161434977579,3.7254250019934954e-09,True
ga,rime,5.979212395529922e-08,-0.7979904812268641,61,-3.466334164588531,2.8102298258990635e-06,True
ga,mde,0.0027772799216362293,-0.455535390199637,57,0.0,0.05832287835436081,False
ga,csa,1.373119964203099e-09,-0.8994535519125683,60,-4.202898550724637,8.238719785218595e-08,True
de,pso,0.019387586350336147,-0.3442622950819672,61,-1.1627906976744171,0.27142620890470603,False
de,abc,2.2283614006780177e-08,-0.810515873015873,63,-4.26421404682274,1.1141807003390088e-06,True
de,lshade,3.853845748182164e-08,0.7966269841269841,63,3.2945736434108532,1.8883844166092604e-06,True
de,imode,2.163665474245897e-06,0.6865079365079365,63,1.5644555694618258,8.005562254709819e-05,True
de,cmaes,5.1683948136322595e-12,1.0,63,6.726457399103139,6.56386141331297e-10,True
de,gwo,0.4035912049088459,-0.12103174603174603,63,-0.7229136163982446,1.0,False
de,rime,1.6507055308193969e-06,0.6999487967229903,62,3.8798498122653307,6.602822123277587e-05,True
de,mde,7.840311171933602e-07,0.7214541730670763,62,5.407725321888412,3.292930692212113e-05,True
de,csa,0.0036990398966125645,0.42063492063492064,63,1.813880126182962,0.07028175803563873,False
pso,abc,4.935089153834651e-11,-0.9600614439324117,62,-2.9272898961284213,3.750667756914335e-09,True
pso,lshade,1.1111647363502784e-11,1.0,61,4.344170403587444,1.177834620531295e-09,True
pso,imode,1.1111647363502784e-11,1.0,61,3.1940063091482678,1.177834620531295e-09,True
pso,cmaes,8.775419685726218e-12,0.9969278033794163,62,8.101472995090017,9.740715851156101e-10,True
pso,gwo,0.08153940333288393,0.25647805393971446,61,0.5747126436781613,0.8969334366617232,False
pso,rime,1.227403216350005e-11,0.9978847170809095,61,3.7771482530689324,1.1783070876960047e-09,True
pso,mde,1.1111647363502784e-11,1.0,61,4.679802955665024,1.177834620531295e-09,True
pso,csa,2.4489975045307974e-11,0.9830777366472766,61,2.914614121510674,2.032667928760562e-09,True
abc,lshade,7.577765262336002e-12,1.0,62,7.266009852216751,9.169095967426562e-10,True
abc,imode,7.577765262336002e-12,1.0,62,6.4668769716088335,9.169095967426562e-10,True
abc,cmaes,7.588826526162455e-12,0.9920634920634921,63,11.403508771929825,9.169095967426562e-10,True
abc,gwo,1.4266893224002908e-11,0.9866871479774706,62,3.403565640194488,1.3553548562802763e-09,True
abc,rime,7.577765262336002e-12,1.0,62,6.95067264573991,9.169095967426562e-10,True
abc,mde,7.577765262336002e-12,1.0,62,7.49211356466877,9.169095967426562e-10,True
abc,csa,7.577765262336002e-12,1.0,62,5.741410488245929,9.169095967426562e-10,True
lshade,imode,4.249637975767529e-07,-0.7508196721311475,60,-1.122994652406419,1.912337089095388e-05,True
lshade,cmaes,6.234583805391235e-07,0.7398907103825136,60,3.636363636363635,2.680871036318231e-05,True
lshade,gwo,1.1678682193806253e-11,-0.9989423585404548,61,-3.537284894837476,1.177834620531295e-09,True
lshade,rime,0.481961704471497,-0.10707803992740472,57,0.0,1.0,False
lshade,mde,0.03490552060069009,0.32123411978221417,57,0.20113979215555133,0.43281198386116226,False
lshade,csa,8.89523275506581e-10,-0.9251899473991818,58,-1.2280701754385968,5.515044308140802e-08,True
imode,cmaes,2.9471759550968313e-10,0.9355191256830601,60,4.649390243902438,1.9156643708129403e-08,True
imode,gwo,4.0794234077616074e-08,-0.8214689265536723,59,-2.7991954408313795,1.9581232357255714e-06,True
imode,rime,0.006034921570155506,0.40765027322404374,60,1.0869565217391326,0.1025936666926436,False
imode,mde,0.000251460034647489,0.5480225988700564,59,1.9088016967126196,0.007040880970129691,True
imode,csa,0.5309988357866471,-0.09378531073446328,59,0.0,1.0,False
cmaes,gwo,1.1997959750819053e-10,-0.9481755684822845,61,-8.245614035087721,8.518551423081528e-09,True
cmaes,rime,5.1930863596152556e-06,-0.6765027322404371,60,-1.7543859649122808,0.00017656493622691868,True
cmaes,mde,0.033293229527781715,-0.31864406779661014,59,0.0,0.43281198386116226,False
cmaes,csa,1.5042966927055902e-08,-0.8404371584699454,60,-3.903743315508022,8.123202140610187e-07,True
gwo,rime,1.1678682193806253e-11,0.9989423585404548,61,2.460984393757503,1.177834620531295e-09,True
gwo,mde,1.994566564292453e-11,0.9956284153005465,60,3.134328358208956,1.6754359140056605e-09,True
gwo,csa,3.102318170629129e-09,0.8797814207650273,60,1.5219842164599777,1.7683213572586038e-07,True
rime,mde,0.0001706674586722307,0.5627118644067797,59,0.49019607843137253,0.0049493563014946906,True
rime,csa,8.456075661203243e-09,-0.8621468926553673,59,-0.9009009009009006,4.6508416136617836e-07,True
mde,csa,1.5513538122097176e-08,-0.8538866160140269,58,-1.401179941002951,8.222175204711504e-07,True
